Nama Jalan,Sepeda Motor,Mobil Pribadi,Angkot,Bus Mini,Pickup / Box,Mini Truk,Bus Besar,Truk 2 Sumbu,Truk 3 Sumbu,Truk Gandeng,Trailer,Kend Tak Bermotor,Tahun,Total_Kendaraan,Kategori_Kepadatan,Jumlah Proyek,Total Panjang,Rata2 Panjang,Total Lebar,Total Luas,Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Basuki Rahmat,121455,25879,501,66,765,58,83,5,0,0,0,2210,2019-01-01,151022,Tinggi,21.0,401.75,19.13,27.5,573.62,Genteng,63.2,1.97,2.0,15593.0,96.8
Blauran,70576,29627,268,44,798,49,26,10,0,0,0,171,2019-01-01,101569,Sedang,1.0,2.0,2.0,1.0,2.0,Genteng,63.2,1.97,2.0,15593.0,96.8
Bubutan,55753,27405,334,0,2045,100,77,29,0,0,0,176,2019-01-01,85919,Rendah,81.0,792.86,9.79,249.0,2791.96,Bubutan,107.8,1.34,3.41,27933.0,98.9
Dharmawangsa,73289,24347,482,26,779,98,61,0,0,0,0,418,2019-01-01,99500,Sedang,18.0,417.5,23.19,62.5,1366.5,Gubeng,143.9,1.47,4.55,18004.0,96.3
Dinoyo,79762,13304,613,33,789,86,24,6,4,0,0,409,2019-01-01,95030,Sedang,31.0,189.5,6.11,55.75,377.5,Tegalsari,108.1,1.34,3.42,25193.0,97.7
Diponegoro,135693,40628,1028,84,1655,122,56,43,0,0,0,513,2019-01-01,179822,Tinggi,64.0,1870.63,29.23,138.5,4583.21,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Dr. Soetomo,89619,35370,341,11,772,56,0,2,1,0,0,155,2019-01-01,126327,Sedang,35.0,857.56,24.5,153.5,6942.76,Tegalsari,108.1,1.34,3.42,25193.0,97.7
Embong Malang,90379,21006,414,40,169,39,78,0,11,0,0,145,2019-01-01,112281,Sedang,8.0,186.4,23.3,8.75,189.4,Tegalsari,108.1,1.34,3.42,25193.0,97.7
Gemblongan,35166,13738,218,15,517,24,44,24,0,0,0,67,2019-01-01,49813,Rendah,19.0,178.0,9.37,54.0,466.0,Bubutan,107.8,1.34,3.41,27933.0,98.9
Genteng Kali,78004,28853,269,5,1462,29,1,4,0,0,0,206,2019-01-01,108833,Sedang,17.0,95.0,5.59,40.5,262.0,Genteng,63.2,1.97,2.0,15593.0,96.8
Gubeng Pojok,93636,19603,272,40,459,45,35,12,0,0,0,136,2019-01-01,114238,Sedang,17.0,64.5,3.79,24.5,128.25,Genteng,63.2,1.97,2.0,15593.0,96.8
Gubernur Suryo,183493,38421,262,104,954,103,120,0,0,0,0,76,2019-01-01,223533,Tinggi,12.0,21.0,1.75,29.0,58.0,Genteng,63.2,1.97,2.0,15593.0,96.8
Hayam Wuruk,53229,19902,306,8,1195,49,3,4,3,0,0,483,2019-01-01,75182,Rendah,41.0,301.0,7.34,114.0,869.0,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Indragiri,52291,31705,447,66,1263,95,7,27,0,0,0,343,2019-01-01,86244,Rendah,39.0,771.1,19.77,135.5,2812.4,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Indrapura,90489,10626,712,182,755,449,141,98,38,18,18,321,2019-01-01,103847,Sedang,62.0,3189.5,51.44,228.0,20350.18,Krembangan,126.7,1.86,4.01,15196.0,99.7
Jagir Wonokromo,80178,20629,456,50,1324,191,7,4,0,2,1,430,2019-01-01,103272,Sedang,64.0,1700.5,26.57,137.0,4304.33,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Jakarta,101833,25427,556,142,5576,1286,348,665,168,56,406,591,2019-01-01,137054,Tinggi,29.0,78.19,2.7,54.0,164.69,Pabean Cantian,85.9,1.11,2.72,12625.0,99.5
Jembatan Merah,95840,18114,1719,61,721,58,117,1,3,0,0,182,2019-01-01,116816,Sedang,6.0,56.0,9.33,18.0,166.0,Krembangan,126.7,1.86,4.01,15196.0,99.7
Joyoboyo,121388,26442,1281,78,1508,74,11,21,6,0,0,432,2019-01-01,151241,Tinggi,34.0,254.03,7.47,119.5,1159.27,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Kedung Doro,95208,27892,831,35,1068,83,23,9,3,0,0,638,2019-01-01,125790,Sedang,31.0,136.85,4.41,83.0,410.79,Tegalsari,108.1,1.34,3.42,25193.0,97.7
Kejawan Putih Tambak,22918,29532,0,38,298,104,4,14,0,0,0,216,2019-01-01,53124,Rendah,39.0,1301.8,33.38,80.8,2357.85,Mulyorejo,91.3,2.01,2.89,6426.0,97.7
Keputran,12799,3209,0,0,776,100,0,37,0,0,0,825,2019-01-01,17746,Rendah,17.0,269.2,15.84,56.5,989.5,Tegalsari,108.1,1.34,3.42,25193.0,97.7
Kertajaya Indah,150064,43914,476,110,1110,88,100,14,0,0,0,243,2019-01-01,196119,Tinggi,67.0,1393.99,20.81,144.5,2557.22,Sukolilo,116.9,2.26,3.7,4936.0,98.2
Kusuma Bangsa,95888,32958,848,26,1050,106,17,11,0,0,0,323,2019-01-01,131227,Tinggi,70.0,838.75,11.98,163.5,2053.4,Genteng,63.2,1.97,2.0,15593.0,96.8
Ngagel,129185,37735,409,83,1333,359,22,29,12,0,0,451,2019-01-01,169618,Tinggi,25.0,121.53,4.86,62.0,260.22,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Polisi Istimewa,43845,14084,134,0,462,24,0,0,0,0,0,109,2019-01-01,58658,Rendah,19.0,64.92,3.42,71.5,291.84,Tegalsari,108.1,1.34,3.42,25193.0,97.7
Pahlawan,94040,17998,323,34,639,223,45,72,13,0,0,660,2019-01-01,114047,Sedang,51.0,576.7,11.31,124.5,1385.26,Bubutan,107.8,1.34,3.41,27933.0,98.9
Pemuda,68139,18359,605,37,771,84,41,5,1,0,0,165,2019-01-01,88207,Rendah,7.0,28.0,4.0,31.0,98.0,Genteng,63.2,1.97,2.0,15593.0,96.8
Perak Barat,107258,14309,498,127,849,360,77,346,394,147,305,376,2019-01-01,125046,Sedang,21.0,2525.58,120.27,45.5,3580.49,Krembangan,126.7,1.86,4.01,15196.0,99.7
Perak Timur,84991,19800,687,94,1622,893,56,81,64,118,724,143,2019-01-01,109273,Sedang,10.0,36.52,3.65,22.5,80.91,Pabean Cantian,85.9,1.11,2.72,12625.0,99.5
Prof. Dr. Moestopo,121170,45377,678,49,2440,167,72,2,0,0,0,205,2019-01-01,170160,Tinggi,5.0,45.0,9.0,12.0,115.0,Gubeng,143.9,1.47,4.55,18004.0,96.3
Rajawali,80080,17209,967,131,1139,388,191,189,0,0,0,222,2019-01-01,100516,Sedang,47.0,2585.98,55.02,217.1,14347.12,Krembangan,126.7,1.86,4.01,15196.0,99.7
Tunjungan,47460,16340,227,37,639,118,79,4,0,0,0,202,2019-01-01,65106,Rendah,2.0,6.0,3.0,1.5,5.0,Genteng,63.2,1.97,2.0,15593.0,96.8
Raya Darmo,124657,46213,686,70,1182,116,171,6,0,0,2,206,2019-01-01,173309,Tinggi,28.0,2241.43,80.05,63.0,4660.94,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Bengawan,41257,12959,121,6,289,8,6,0,0,0,0,125,2019-01-01,54771,Rendah,4.0,162.2,40.55,10.5,390.7,Wonokromo,170.0,1.35,5.38,20069.0,97.2
Kapuas,20774,6932,0,0,51,0,0,0,0,0,0,69,2019-01-01,27826,Rendah,13.0,65.0,5.0,25.5,141.0,Tegalsari,108.1,1.34,3.42,25193.0,97.7
Raya Its,48361,18464,249,53,1198,71,50,14,0,0,0,363,2019-01-01,68823,Rendah,7.0,45.9,6.56,18.5,115.72,Sukolilo,116.9,2.26,3.7,4936.0,98.2
