Nama Jalan,Sepeda Motor,Mobil Pribadi,Angkot,Bus Mini,Pickup / Box,Mini Truk,Bus Besar,Truk 2 Sumbu,Truk 3 Sumbu,Truk Gandeng,Trailer,Kend Tak Bermotor,Tahun Tahap
Adityawarman,94.572,30.049,421,49,1.094,215,40,42,2,0,0,390,2019 (2)
Adityawarman,94.572,30.049,421,49,1.094,215,40,52,2,0,0,390,2019 (1)
Basuki Rahmat,163.774,56.500,698,27,840,31,90,4,0,0,0,3.542,2019 (2)
Basuki Rahmat,121.455,25.879,501,66,765,58,83,5,0,0,0,2.210,2019 (1)
Blauran,29.627,268,44,798,49,26,10,0,0,0,171,0,2019 (2)
Blauran,70.576,29.627,268,44,798,49,26,10,0,0,0,171,2019 (1)
Bubutan,101.450,13.954,375,0,2.045,100,77,29,0,0,0,176,2019 (2)
Bubutan,55.753,27.405,334,0,2.045,100,77,29,0,0,0,176,2019 (1)
Dharmawangsa,81.157,26.961,534,29,863,109,68,0,0,0,0,463,2019 (2)
Dharmawangsa,73.289,24.347,482,26,779,98,61,0,0,0,0,418,2019 (1)
Dinoyo,62.314,17.182,403,79,713,82,0,7,0,0,0,266,2019 (2)
Dinoyo,79.762,13.304,613,33,789,86,24,6,4,0,0,409,2019 (1)
Diponegoro,219.059,24.891,1.113,36,1.590,119,170,8,1,0,0,529,2019 (2)
Diponegoro,135.693,40.628,1.028,84,1.655,122,56,43,0,0,0,513,2019 (1)
Dr. Soetomo,79.438,28.880,187,2,755,58,0,0,0,0,0,209,2019 (2)
Dr. Soetomo,89.619,35.370,341,11,772,56,0,2,1,0,0,155,2019 (1)
Embong Malang,78.046,30.065,286,33,511,24,73,6,11,0,0,98,2019 (2)
Embong Malang,90.379,21.006,414,40,169,39,78,0,11,0,0,145,2019 (1)
Gemblongan,66.179,22.153,1.219,80,1.858,197,72,0,0,0,0,262,2019 (2)
Gemblongan,35.166,13.738,218,15,517,24,44,24,0,0,0,67,2019 (1)
Genteng Kali,99.471,23.415,484,55,1.274,78,28,3,1,0,0,379,2019 (2)
Genteng Kali,78.004,28.853,269,5,1.462,29,1,4,0,0,0,206,2019 (1)
Gubeng Pojok,103.688,21.707,301,44,508,50,39,13,0,0,0,151,2019 (2)
Gubeng Pojok,93.636,19.603,272,40,459,45,35,12,0,0,0,136,2019 (1)
Gubernur Suryo,112.352,19.030,504,21,731,47,89,1,0,0,0,275,2019 (2)
Gubernur Suryo,183.493,38.421,262,104,954,103,120,0,0,0,0,76,2019 (1)
Hayam Wuruk,35.762,15.648,0,0,205,55,0,20,0,0,0,164,2019 (2)
Hayam Wuruk,53.229,19.902,306,8,1.195,49,3,4,3,0,0,483,2019 (1)
Indragiri,69.774,22.545,190,14,960,40,15,2,0,0,0,192,2019 (2)
Indragiri,52.291,31.705,447,66,1.263,95,7,27,0,0,0,343,2019 (1)
Indrapura,128.993,17.672,650,66,348,86,124,0,0,0,0,353,2019 (2)
Indrapura,90.489,10.626,712,182,755,449,141,98,38,18,18,321,2019 (1)
Jagir Wonokromo,104.038,24.567,268,0,606,90,0,36,0,0,0,245,2019 (2)
Jagir Wonokromo,80.178,20.629,456,50,1.324,191,7,4,0,2,1,430,2019 (1)
Jakarta,83.532,14.234,1.023,146,1.735,1.083,138,1.155,573,304,311,939,2019 (2)
Jakarta,101.833,25.427,556,142,5.576,1.286,348,665,168,56,406,591,2019 (1)
Jembatan Merah,56.946,17.699,1.281,40,1.614,135,154,1,0,0,0,227,2019 (2)
Jembatan Merah,95.840,18.114,1.719,61,721,58,117,1,3,0,0,182,2019 (1)
Joyoboyo,134.932,31.426,881,85,1.246,72,34,22,0,0,0,499,2019 (2)
Joyoboyo,121.388,26.442,1.281,78,1.508,74,11,21,6,0,0,432,2019 (1)
Kayoon / Kayun,31.745,13.793,284,11,233,53,0,1,0,0,0,192,2019 (2)
Kayoon / Kayun,36.441,15.061,414,0,722,137,0,1,0,0,0,268,2019 (1)
Kedung Doro,78.224,18.843,295,0,367,49,0,24,0,0,0,527,2019 (2)
Kedung Doro,95.208,27.892,831,35,1.068,83,23,9,3,0,0,638,2019 (1)
Kejawan Putih Tambak,23.639,26.770,0,21,427,25,2,3,0,0,0,144,2019 (2)
Kejawan Putih Tambak,22.918,29.532,0,38,298,104,4,14,0,0,0,216,2019 (1)
Kembang Jepun,42.091,8.673,115,2,759,308,4,162,3,0,0,369,2019 (2)
Kembang Jepun,31.838,7.681,227,17,1.064,167,21,28,0,0,0,694,2019 (1)
Keputran,14.008,2.619,214,0,1.157,117,0,9,0,0,0,643,2019 (2)
Keputran,12.799,3.209,0,0,776,100,0,37,0,0,0,825,2019 (1)
Kertajaya Indah,132.410,55.230,337,116,712,126,95,63,0,0,0,282,2019 (2)
Kertajaya Indah,150.064,43.914,476,110,1.110,88,100,14,0,0,0,243,2019 (1)
Kusuma Bangsa,106.182,36.496,939,29,1.163,117,19,12,0,0,0,358,2019 (2)
Kusuma Bangsa,95.888,32.958,848,26,1.050,106,17,11,0,0,0,323,2019 (1)
Mayjen Sungkono,164.602,46.884,788,75,1.500,105,68,78,0,0,0,279,2019 (2)
Mayjen Sungkono,148.645,42.339,712,68,1.355,95,61,70,0,0,0,252,2019 (1)
Ngagel,154.339,44.405,545,64,2.903,285,51,88,56,0,0,302,2019 (2)
Ngagel,129.185,37.735,409,83,1.333,359,22,29,12,0,0,451,2019 (1)
POLISI ISTIMEWA,58.337,16.800,232,0,266,62,0,14,1,0,0,260,2019 (2)
POLISI ISTIMEWA,43.845,14.084,134,0,462,24,0,0,0,0,0,109,2019 (1)
MAYJEND HR.MUHAMMAD,98.129,38.773,466,55,2.554,267,74,13,0,0,0,183,2019 (2)
MAYJEND HR.MUHAMMAD,88.616,35.014,421,50,2.306,241,67,12,0,0,0,165,2019 (1)
Pahlawan,87.638,23.605,1.057,36,814,238,190,145,9,0,0,564,2019 (2)
Pahlawan,94.040,17.998,323,34,639,223,45,72,13,0,0,660,2019 (1)
Pemuda,109.283,33.257,462,8,1.136,44,69,16,0,0,0,131,2019 (2)
Pemuda,68.139,18.359,605,37,771,84,41,5,1,0,0,165,2019 (1)
Perak Barat,32.259,12.473,200,31,1.100,811,87,840,12,264,488,341,2019 (2)
Perak Barat,107.258,14.309,498,127,849,360,77,346,394,147,305,376,2019 (1)
Perak Timur,30.671,12.840,65,0,206,89,83,103,12,33,105,260,2019 (2)
Perak Timur,84.991,19.800,687,94,1.622,893,56,81,64,118,724,143,2019 (1)
Prof. Dr. Moestopo,134.178,50.248,751,54,2.702,185,80,2,0,0,0,227,2019 (2)
Prof. Dr. Moestopo,121.170,45.377,678,49,2.440,167,72,2,0,0,0,205,2019 (1)
Rajawali,72.806,16.022,395,40,915,453,94,48,0,0,0,400,2019 (2)
Rajawali,80.080,17.209,967,131,1.139,388,191,189,0,0,0,222,2019 (1)
Stasiun Wonokromo,171.054,24.986,876,33,1.200,42,93,41,0,0,0,601,2019 (2)
Stasiun Wonokromo,80.178,20.629,456,50,1.324,191,7,4,0,2,1,430,2019 (1)
Sumatra,148.330,63.628,1.025,85,1.660,140,52,10,7,0,0,361,2019 (2)
Sumatra,133.950,57.460,926,77,1.499,126,47,9,6,0,0,326,2019 (1)
Tunjungan,114.328,13.161,363,9,1.134,76,304,9,0,0,0,194,2019 (2)
Tunjungan,47.460,16.340,227,37,639,118,79,4,0,0,0,202,2019 (1)
RAYA DARMO,80.844,55.151,342,77,315,66,191,21,0,0,0,277,2019 (2)
RAYA DARMO,124.657,46.213,686,70,1.182,116,171,6,0,0,2,206,2019 (1)
BENGAWAN,55.217,15.172,283,67,531,68,53,24,0,0,0,231,2019 (2)
BENGAWAN,41.257,12.959,121,6,289,8,6,0,0,0,0,125,2019 (1)
KAPUAS,7.316,4.127,6,0,196,0,0,0,0,0,0,147,2019 (2)
KAPUAS,20.774,6.932,0,0,51,0,0,0,0,0,0,69,2019 (1)
URIP SUMOHARJO,169.360,51.222,846,46,1.983,161,140,15,0,0,0,375,2019 (2)
URIP SUMOHARJO,199.432,7.775,1.621,270,2.246,213,141,100,40,4,0,554,2019 (1)
JENDRAL SUDIRMAN,86.565,35.406,228,10,657,59,29,6,0,0,0,152,2019 (2)
JENDRAL SUDIRMAN,78.359,31.120,327,56,513,52,80,7,0,0,0,48,2019 (1)
CITRA RAYA UNESA,54.193,29.590,18,0,259,65,0,20,0,0,0,122,2019 (2)
CITRA RAYA UNESA,48.939,26.721,16,0,234,59,0,18,0,0,0,110,2019 (1)
MAYJEND YONO SUWOYO,121.633,78.159,306,45,1.856,182,78,24,3,0,0,147,2019 (2)
MAYJEND YONO SUWOYO,109.841,70.582,276,41,1.676,164,70,22,3,0,0,133,2019 (1)
DHARMAHUSADA UTARA VII,22.749,10.684,0,8,506,35,0,0,0,0,0,236,2019 (2)
DHARMAHUSADA UTARA VII,25.667,12.671,0,15,420,23,0,5,0,0,0,162,2019 (1)
DR. IR. H SOEKARNO,150.621,47.409,312,93,1.406,178,69,26,0,0,0,261,2019 (2)
DR. IR. H SOEKARNO,150.621,47.409,312,93,1.406,178,69,26,0,0,0,261,2019 (1)
RAYA ITS,58.333,34.341,29,2,317,56,1,0,0,0,0,116,2019 (2)
RAYA ITS,48.361,18.464,249,53,1.198,71,50,14,0,0,0,363,2019 (1)
LAGUNA PUTIH TAMBAK,52.539,47.072,210,114,1.213,85,0,19,0,0,0,643,2019 (2)
LAGUNA PUTIH TAMBAK,32.597,25.405,156,0,668,28,0,10,0,0,0,286,2019 (1)
