Kecamatan,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Karang Pilang,77.6,2.51,2.46,8402,99.2
Jambangan,54.1,3.29,1.71,12911,99.4
Gayungan,47.8,1.83,1.51,7878,98.3
Wonocolo,85.3,1.83,2.7,12596,98.6
Tenggilis Mejoyo,60.3,1.19,1.91,10917,98.2
Gunung Anyar,60.5,3.04,1.92,6231,98.9
Rungkut,121.2,3.1,3.84,5751,98.2
Sukolilo,116.9,2.26,3.7,4936,98.2
Mulyorejo,91.3,2.01,2.89,6426,97.7
Gubeng,143.9,1.47,4.55,18004,96.3
Wonokromo,170,1.35,5.38,20069,97.2
Dukuh Pakis,62.8,0.43,1.99,6316,98.4
Wiyung,74,1.71,2.34,5936,99.5
Lakarsantri,61.9,3.21,1.96,3257,100.3
Sambikerep,66.8,2.83,2.11,2820,99.7
Tandes,96.6,1.87,3.06,8725,97.9
Suko Manunggal,108.2,2.18,3.43,11725,99.2
Sawahan,216.4,1.23,6.85,31226,98.2
Tegalsari,108.1,1.34,3.42,25193,97.7
Genteng,63.2,1.97,2,15593,96.8
Tambaksari,239.3,2.04,7.57,26613,98.3
Kenjeran,179.2,4.08,5.67,23063,101.2
Bulak,46.2,2.11,1.46,6870,99.5
Simokerto,104.1,1.33,3.3,40207,99
Semampir,206.4,2.18,6.54,23566,100.7
Pabean Cantian,85.9,1.11,2.72,12625,99.5
Bubutan,107.8,1.34,3.41,27933,98.9
Krembangan,126.7,1.86,4.01,15196,99.7
Asemrowo,49.8,2.18,1.58,3226,103.3
Benowo,68.4,3.46,2.16,2880,99.8
Pakal,58.6,3.79,1.85,2655,101.9
Surabaya,3158.9,2.07,100,9497,98.9